Device,Parent Device,Sensor,Location,Time,Value,Units,Status
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"28 Aug, 2020 8:00:00 PM",26,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"28 Aug, 2020 9:00:00 PM",25,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"28 Aug, 2020 10:00:00 PM",24,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"28 Aug, 2020 11:00:00 PM",23,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"29 Aug, 2020 12:00:00 AM",23,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"29 Aug, 2020 1:00:00 AM",23,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"29 Aug, 2020 2:00:00 AM",23,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"29 Aug, 2020 3:00:00 AM",24,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"29 Aug, 2020 4:00:00 AM",24,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"29 Aug, 2020 5:00:00 AM",24,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"29 Aug, 2020 6:00:00 AM",24,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"29 Aug, 2020 7:00:00 AM",24,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"29 Aug, 2020 8:00:00 AM",24,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"29 Aug, 2020 9:00:00 AM",40,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"29 Aug, 2020 10:00:00 AM",39,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"29 Aug, 2020 11:00:00 AM",46,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"29 Aug, 2020 12:00:00 PM",39,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"29 Aug, 2020 1:00:00 PM",41,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"29 Aug, 2020 2:00:00 PM",46,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"29 Aug, 2020 3:00:00 PM",47,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"29 Aug, 2020 4:00:00 PM",41,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"29 Aug, 2020 5:00:00 PM",41,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"29 Aug, 2020 6:00:00 PM",46,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"29 Aug, 2020 7:00:00 PM",49,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"29 Aug, 2020 8:00:00 PM",39,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"29 Aug, 2020 9:00:00 PM",43,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"29 Aug, 2020 10:00:00 PM",44,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"29 Aug, 2020 11:00:00 PM",44,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"30 Aug, 2020 12:00:00 AM",44,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"30 Aug, 2020 1:00:00 AM",49,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"30 Aug, 2020 2:00:00 AM",57,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"30 Aug, 2020 3:00:00 AM",57,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"30 Aug, 2020 4:00:00 AM",51,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"30 Aug, 2020 5:00:00 AM",49,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"30 Aug, 2020 6:00:00 AM",51,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"30 Aug, 2020 7:00:00 AM",41,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"30 Aug, 2020 8:00:00 AM",43,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"30 Aug, 2020 9:00:00 AM",45,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"30 Aug, 2020 10:00:00 AM",50,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"30 Aug, 2020 11:00:00 AM",46,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"30 Aug, 2020 12:00:00 PM",44,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"30 Aug, 2020 1:00:00 PM",43,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"30 Aug, 2020 2:00:00 PM",47,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"30 Aug, 2020 3:00:00 PM",50,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"30 Aug, 2020 4:00:00 PM",50,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"30 Aug, 2020 5:00:00 PM",44,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"30 Aug, 2020 6:00:00 PM",45,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"30 Aug, 2020 7:00:00 PM",47,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"30 Aug, 2020 8:00:00 PM",46,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"30 Aug, 2020 9:00:00 PM",44,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"30 Aug, 2020 10:00:00 PM",44,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"30 Aug, 2020 11:00:00 PM",44,% RH,
